lemmata,text
ЙИIКЪХЪОХУ́КIНУ,"// ЙИIХЪХЪОХУ́КIНУ понуд. масд. от йиIкъхъохкIа // йиIхъхъохкIа́; ср.: иIкъхъохукIну// иIхъхъохукIну, биIкъхъохукIну// биIхъхъохукIну, лиIкъхъохукIну // лиIхъхъохукIну"
ЙОГ,"нареч. хорошо; до йог голи мне хорошо; ср.: ог, бог, лог; см. хварш. кIветI"
ЙОГЛА́,"(йогу́лше, йогли́, йоглу́н, йогōл, йо́гло) улучшиться (о состоянии здоровья) (сант.); гьобийе обу огли теперь отцу стало лучше"
ЙО́ГУ  ЙОВ,"1) хороший; логу огь хороший виноград; богутIа къуIне гемесур две хорошие тыквы; йогу ылIну хорошая (теплая) зима; логу гьоркьолъи хорошие взаимоотношения; илул голлолыч логу голи нам всем хорошо 2) приятный; логу лойе приятное слово; йогу гъиIне приятная женщина; огу гьикIо а) хороший (приятный) человек б) нравственно чистый человек 3) благой, добрый; абахар илухъол йогу йечи соседка была к нам добра; бестIал ишу йогу йехъви мачеха стала доброй; йогу йеча быть добрым (приятным, хорошим, нравственно чистым); богу хабар чIала услышать благую весть; йогу йехъва а) стать добрым (приятным, хорошим) б) измениться в лучшую сторону) в) перен. взять на себя ответственность за что-л.; абахарбо богу бехъун соседи стали добрыми; богун бехъун миже лӣ йу ригьин вы помогли этому браку как будто вы хорошие; бестIал обу къалахъал огу эчи отчим был к сиротам добр 4) умелый (мастерский); логутIа лыкьаба хорошие руки (руки мастера, врача) 5) качественный, добротный; логу лол'хъосо хорошие (качественные) туфли (обувь); йогу гьел качественная фасоль; ыстIыл логу лехъун а) сестра поправилась б) у сестры улучшилось состояние; исо гъиIне йогу йечи, гьобийе квачын его жена была толстая (упытанная), теперь похудела 6) вкусный; логу лацIа вкусная еда; лолуч логу самые (хорошие, качественные); ср.: огу// ов, богу//бов, логу//лов; хварш. йагу"
ЙОДОДО́В,"// Й/ОДО́ГУ 1. прич. поработавший, потрудившийся 2. I, II сущ. работяга, трудяга, трудоголик; дийо ододов уже голи мой сын работяга (есть); ср.: ододов//ододогу, бододов// бододогу, лододов//лододогу; хварш. йайда"
ЙОДОЙА́,"(йодо́ше, йодойи́, йодойи́н, йодойōй, йо́дойо) 1) работать; трудиться; шурай зубкьо одойа работать целый день; кока къвечлъо, бодойа бувок если хочешь кушать, надо работать; йу ог одойи он хорошо работал 2) зарабатывать (на хлеб); ило обу одойа эᴴкьи наш отец уехал на заработки (букв. зарабатывать); ср.: одойа, бодойа, лодойа; хварш. йайа"
ЙОДО́НУ,"1. масд. от гл. йодойа́ 2. работа, труд, деятельность кого-л.; исо одону локI-локIогьоз лēч он трудится от души (букв. его работа от самого сердца); ср.: одону, бодону, лодону; хварш. йадану"
ЙОДОХКIА́,"(йодоху́кIше, йодохкIи́, йодохкIу́н, йодохкIōй, йо́дохкIо) понуд. 1) заставить работать (трудиться); ило абахари мицIикIи уже одохкIи наш сосед заставил работать маленького сына 2) заставить зарабатывать; ср.: одохкIа, бодохкIа, лодохкIа; хварш. йадахкIа"
ЙОДОХУ́КIНУ,"понуд. масд. от гл. йодохкIа́; ср.: одохукIну, бодохукIну, лодохукIну"
ЙО́КЪУ,"V (-у́//-а́, -у́бо, -уза́) 1) бульон; лилIас йокъу мясной бульон; йокъакьаса лолъ снятый с бараньего или говяжего бульона жир 2) отвар; похлебка; кьенос йокъу похлебка из солода 3) жидкая каша (из муки); йокъу йута добавить муку при приготовлении каши 4) пойло; мишзал йокъу тылIа дать телятам пойло"
ЙО́КЪУ-ЛЪО,"IV (эрг. лъейи́, ген.I лъас//лъес, мн. лъобо́, эрг. мн. лъоза́) 1) бурда, помои 2) пойло; см. йокъу"
ЙОКIА́,"(йо́кIше, йокIи́, йокIу́н, йōкI, йо́кIа) 1) гореть; сгореть; гид йокIи платье сгорело; йу цIодо йокIи она сгорела в огне 2) обжигаться; лыкьа локIи рука обожглась 3) жечь; лыдо бокIа жечь дрова 4) гореть (быть в жару); къеIн локIше голова горит 5) перен. высыхать от солнца; гъуIдуIлаба локIун поля (посевы) высохли от засухи (букв. от солнца) 6) испытать чувство жжения; локIо локIше желудок от изжоги жжется 7) перен. краснеть; нушен лехъун хуIх локIше от стыда лицо горит 8) перен. гнить или преть; бох локIун сено запрело 9) перен. болеть (сострадать); страдать от чувств; локIо локIа волноваться, испытывать трепет (букв. сердце жечь); рокьоз окIше горит в огне любви; локIо локIше душа горит за кого-л.; ср.: окIа, бокIа, локIа; хварш. йакIва"
ЙО́КIКIУ,"прич. 1) сожженный; бокIкIу мокIо сожженное пожаром место; илул лакви локIкIу аᴴхъба мы увидели сожженные дома 2) высохший; йокIкIу цIол высохшие от засухи сенокосные угодия; ср.: окIкIу, бокIкIу, локIкIу; хварш. айкIа"
ЙОКIНУ,"1. масд. от гл. йокIа́ 2. 1) горение 2) подгорание; перегорание 3) жжение 4) перен. жар 5) перен. покраснение 6) перен. прение; ср.: окIну, бокIну, локIну; хварш. акIвану"
ЙОКIОКIА́,"(йокIо́кIше, йокIокIи́, йокIокIу́н, йокIокIōй, йо́кIокIо) учащ. 1) гореть, подгореть; шикьу локIокIи одежда (местами) сгорела; музибо локIокIи лепешки (местами) подгорели 2) сжигать; обжигать, выжигать подгорать; хъитIу локIокIа сжигать (иногда) хворост; ср.: окIокIа, бокIокIа, локIокIа"
ЙОКIО́КIКIУ,"учащ. обожженный (во многих частях тела); банницикьол окIокIкIу уже отIкъи в больницу привезли обожженного мальчика; ср.: окIокIкIу, бокIокIкIу, локIокIкIу"
ЙОКIО́КIНУ,"1. учащ. масд. от гл. йокIокIа́ 2. 1) горение, перегорание, подгорание 2) сожжение"
ЙОКIОКIУ́ХНУ,учащ. понуд. масд. от гл. йокIокIха́
ЙОКIОКIХА́,"(йокIокIу́хше, йокIокIхи́, йокIокIху́н, йокIокIхōй, йо́кIокIхо) понуд. учащ.от гл. йокIокIа́"
ЙОКIУ́ХНУ,1. понуд. масд. от гл. йокIха́ 2. 1) обжигание 2) пережаривание 3) выжигание 4) перен. раздражение
ЙОКIХА́,"(йокIу́хше, йокIхи́, йокIху́н, йокIōх, йо́кIхо) понуд. 1) вынудить (содействовать), чтобы кто-что-л. сгорел; обжигать чем-л.; истипати мыцI бокIи перцем обожгло язык; цIада какъатаба локIхун вынудить сжечь бумаги в огне 2) пережаривать что-л.; лилI локIха пережарить мясо 3) вынудить (содействовать) выжигать; бокIхун сурат бегъви выжиганием рисовать; локIун мугьру цолIа клеймить (животных) 4) вызывать раздражение; йоди охо локIи йод вызвал раздражение на ране 5) перен. заставить страдать от чувств (или от алкоголя); ср.: окIха, бокIха, локIха; хварш. йакIваха"
ЙОЛА́,"(йо́лше, йоли́, йолу́н, йōл, йо́ло) выпадать (о снеге, граде); эᴴсо йола йехъви снег начал падать (идти); зангал йолше град идет (падает); ср.: бола, лола; хварш. йихва; см. целIа́"
ЙО́ЛЛУ,"прич. выпавший (об осадках); нишогьо йоллу эᴴсо гъолкьо йиᴴци снег, выпавший ночью, растаял утром; хварш. йийха"
ЙОЛНУ,1. масд. от гл. йола́ 2. выпадение (осадков); хварш. йихвану
ЙОЛХА́,"(йолу́хше, йолхи́, йолху́н, йолōх, йо́лхо) понуд. от гл. йола́"
ЙОЛУ́ХНУ,"понуд. масд. от гл. йолха́; ср.: болухну, лолухну"
ЙОЛЪАЗЕБУ,"V (-у́, -бо, -за́) полдень (хварш.); см. инх. лIобу"
ЙО́ЛЪЛЪО,"союз сравн. как; эᴴсо йолълъо как снег; мо олълъо как ты; цIиркъ олълъо кьолол кIолIи напал как тигр; мише олълъо уᴴкьи струсил как телёнок; эᴴкъо йолълъу йехъви покраснела (как кровь стала); ср.: олълъо, болълъо, лолълъо"
ЙОЛI-ЙО́ЛIО,"// йолI-йо́лIлIо нареч. попалам, на равные части; болI-болIлIо бытIа а) разорваться от злости б) лопнуть (букв. разделить попалам); симе мокIнуз олI-олIлIо ытIи от злости (он) лопнул; ср. олI-олIо//олI-олIлIо, болI-болIо//болI-болIлIо, лолI-лолIо //лолI-лолIлIо"
ЙО́ЛIО,"1. нареч. 1) между 2) посередине, среди; 2. послелог среди, между; йолIо йоᴴццагьа в поясе (букв. в середине, где опоясывают); де йу олIо оᴴццагьаса охъхъи я схватил (-а) его за пояс; до йолIо йоццагьакъа ралъадылъыл йеᴴкьи я вошла в море по пояс ♦ болIо моццагьал ботIукъдов длинные (о волосах) (букв. доходящие до места, где завязывают пояс); ср.: олIо, болIо, лолIо; см. йо́лIлIо"
ЙОЛIО́КЬО,"нареч. в середине; среди; гьеᴴшала лолIокьо в середине книги; мишзала лолIокьо среди телят; ср.: олIокьо, болIокьо, лолIокьо; см. йолIлIокьо"
ЙОЛIОКЬО́СО,"средний (находящийся посередине чего-л.); лолIокьосо гьеᴴшебо книги, находящиеся в середине (кипы); лолIокьосо бушнебо лепешки, находящиеся посередине других; болIокьосо тIу бичIин порезался средний палец ср.: олIокьосо, болIокьосо, лолIокьосо"
ЙОЛIОКЬОХА́,"(йолIокьо́хше, йолIокьохи́, йолIокьоху́н, йолIокьохōй йо́лIокьохо) втиснуться в середине, стараться быть в середине кого-чего-л.; ср.: олIокьоха, болIокьоха, лолIокьоха"
ЙОЛIОКЬО́ХНУ,"масд. от гл. йолIокьоха́; ср.: олIокьохну, йолIокьохну, лолIокьохну"
ЙОЛIОКЬОКIА́,"(йолIокьо́кIше, йолIокьокIи́, йолIокьокIу́н, йолIокьокIōй йо́лIокьокIо) войти (пойти) в середину, положить (поставить) в середине; ср.: олIокьокIа, болIокьокIа, лолIокьокIа"
ЙОЛIОКЬО́КIНУ,"масд. от гл. йолIокьокIа́; ср.: олIокьокIну, болIокьокIну, лолIокьокIну"
ЙОЛIОКЬОХКIА́,"(йолIокьоху́кIше, йолIокьохкIи́, йолIокьохкIу́н, йолIокьохкIōй, йо́лIокьохкIо) понуд. от гл. йолIокьокIа́; ср.: олIокьохкIа, болIокьохкIа, лолIокьохкIа,"
ЙОЛIОКЬОХУ́КIНУ,"понуд. масд. от гл. йолIокьохкIа́; ср.: олIокьохукIну, болIокьохукIну, лолIокьохукIну"
ЙОЛIО́-ХЪЕЛI,нареч. иногда
ЙО́ЛIЛIО,"1. нареч. 1) между 2. посередине, среди; шунделын йеᴴкьын йолIлIо йитIин она скатилась и разорвалась на куски; йу симехын олIлIо ытте голи он от злости разрывается; лолIлIо релъа полночь; лолIлIо релъакьа в полночь (букв. в середине ночи); лолIлIо релъа лотIкъи наступила полночь; гьакъу лолIлIо релъакьа ботIкъи родители вернулись в полночь; лолIлIо лIобокьо днём; средь бела дня (букв. в середине обеденного времени); 2. послелог среди, между ♦ лолоIкьо голлу гьимон что-то скрытое от других (букв. в середине имеющая вещь); лолIлIо локIо лытIа сильно огорчиться (букв. сердце лопнуть); йолIлIо йитIа а) делить (разделить) попалам (поровну) б) разорваться на куски в) перен. разорваться от обиды (злостиср.: олIлIо, болIлIо, лолIлIо; см. йо́лIо"
ЙОЛIЛIО́КЬО,"1. нареч. посередине; между 2. послелог посередине, среди, (управляет эссивом на -кьо); аᴴцмала болIлIокьо между дверьми; илло олIлIокьо между нами; гьадамла олIлIокьо среди людей; илло болIлIокьо эIᴴху голи между нами река (есть) ♦ олIлIокьол кIолIа застреваться во что-н. (букв. между чем-кем-л. прыгнуть); олIлIокьоз эгъва выключить из чего-л.; убрать из списка (очереди); олIлIокьол эхъва вмешаться в спор, разговор; олIлIокьо лIуха пропустить, не заметить кого-л.; ср.: олIлIокьо, болIлIокьо, лолIлIокьо; квант. йолIокьо; хварш. йолIлIакьо"
ЙОЛIЛIОНУ́КЪА,"1. нареч. 1) в середине чего-л.; посередине; лолIлIонукъа гьунема посередине дороги; хабарала олIлIонукъа в середине беседы, разговора (прервав разговор, беседу); до йолIлIонукъа эᴴхулъ лIухи я осталась в середине реки; до уншесо йолIлIонукъа йечхи меня прервали на середине разговора; эᴴхуло болIлIонукъа машина беччи в середине речки остановился грузовая машина; хабарала болIлIонукъа исе хъаᴴлIу кули в середине разговора он издал крик 2) вдруг; мо гьобийе лолIлIонукъа ухателIун эхъви ты теперь вдруг решил не пойти (куда-л.); 2. послелог по середине, в центре; ср.: олIлIонукъа, болIлIонукъа, лолIлIонукъа; квант. йолIонукъа"
ЙО́РГЪА,"III (-а́, -а́ба, -аза́) иноходь; йоргъа соро иноходец ♦ йоргъа бекIва гулять где захочется (букв. пуститься иноходью)"
ЙОРГЪАКЬА,1. форма локатива на –кьа; ило йоргъакьа кьотIкъи мы сели на иноходь 2. в знач. нареч. иноходью
ЙОРГЪА́Н,"III (-и́, -ба, -за́) стеганное одеяло; де йоргъан бези я купила одеяло; дикьо йоргъан кула укрыть меня стеганным одеялом"
ЙОРГЪА́Н-БО́РТО́ХЕ,(-и́) постельные принадлежности (букв. одеяло-матрас); бахIарайил йоргъан-бортохе леза купить невесте постельные принадлежности
ЙОРКЬИДА́,"(йоркьи́дше//йоркьи́шше, йоркьиди́, йоркьиди́н, йоркьидōй, йо́ркьидо) 1) сильно растопиться (о печке, о тепле солнца); печ боркьиди печь растопилась (накалилась) 2) перен. хорошо работать; взять темп работы; хIалтIи боркьиди работа хорошо пошла 3) перен. разгорячиться; дагIба боркьиди спор дошел до кондиции; ср.: оркьида, боркьида́, роркьида"
ЙОРКЬИ́́ДНУ,"масд. от гл. йоркьида́; ср.: оркьидну, боркьидну, роркьидну"
ЙОРКЬИДОКIА́,"(йоркьидо́кIше, йоркьидокIи́, йоркьидокIу́н, йоркьидокIōй, йо́ркьидокIо) 1) раскалить, накалить 2) жарить; поджарить, поджаривать; гемесурус гьуму орбал йоркьидокIи семена тыквы поджарили для урбеча 3) перен. сильно ругать, поругать; дать нагоняй; учитир оркьидокIи учителю достался (с ним разбирались, поругались); ср.: оркьидокIа, боркьидокIа, роркьидокIа; см. боболокIа́"
ЙОРКЬИДО́КIНУ,"понуд. масд. от гл. йоркьидокIа́; ср.: оркьидокIну, боркьидокIну, роркьидокIну"
ЙОРКЬИДОХКIА́,"(йоркьидоху́кIше, йоркьидокIи́, йоркьидохкIу́н, йоркьидохкIōй, йо́ркьидохкIо) понуд. растапливать; разжигать; делать горячим, накаленным; эᴴкъи йоркьидохкIа накаливать сковороду; ср.: оркьидохкIа, боркьидохкIа, роркьидохкIа; см. боболохкIа"
ЙОРКЬИДОХУ́КIНУ,"понуд. масд. от гл. йоркьидохкIа; ср.: оркьидохукIну, боркьидохукIну, роркьидохукIну"
ЙОРЧIО́МИ,"межд. здравствуй(те), доброе утро (обращение к женщине, девушке, девочке); см. борчIоми, ворчIоми, рорчIоми"
ЙОСА́,"(йо́ссе, йоси́, йосу́н, йōс, йо́со) взять, брать; получить, (взять на себя) принимать; учитири журнал лыкьел лоси учитель взял журнал в руки; лыкьез ликьел лоса принять из рук в руки; иле йу гьимон кьолол лоси мы это дело взяли на себя; ср.: оса, боса, лоса"
ЙО́СНУ,"1. масд. от гл. йоса́ 2. получение, взятие, приём чего-л.; ср.: осну, босну, лосну"
ЙОСУ́ХНУ,"1. понуд. масд. от гл. йосха́ 2. вынуждение взять (принимать, получать что-л.); ср.: осухну, босухну, лосухну"
ЙОСХА́,"(йосу́хше, йосхи́, йосху́н, йосōх, йо́схо) понуд. попросить (заставить, вынудить) взять (брать, получить, взять на себя); гьикIо кулну исухъо кьолол лосхи его заставили взять на себя убийство (букв. убийство человека заставили его взять на себя); ср.: осха, босха, лосха"
ЙОТIКЪА́,"(йотIу́къше, йотIкъи́, йотIкъу́н, йотIōкъ, йо́тIкъо) 1) дотягиваться; дотянуться до чего-л.; хыналIыл ботIкъи дотянулись до потолка; лIигьакьал лыкьа лотIкъа касаться бревна; аᴴкагъал лыкьа лотIкъа дотянуться рукой до окна 2) доходить, доехать (дойти) до чего-л., кого-л.; до аᴴлIалъыл отIкъи я доехал (дошёл) до населённого пункта; шагьарылъыл ботIкъа доехать до города; ило быкь гьункьол лотIкъи наши овцы дошли до гор 3) достигать; достигнуть; достичь чего-л.; доноситься, доносить; хабараба лотIкъи дошли вести; кечIис лойе лотIкъи донеслись слова песни; гаIну йотIкъи донеслась мелодия; гIалимлъикьол ботIкъи достигли до степени ученого; лойебо лотIкъи крики донеслись 4) получать; получить; ос ботIкъа получить деньги; кагъатаба лотIкъа получать письма 5) поступать, поступить кому-чему-л. откуда-л.; шикьубо лотIкъи поступила одежда (в магазине) 6) приезжать, приехать, прибывать, прибыть откуда-л. куда-л.; баба йотIкъи мама вернулась (пришла); онол йотIкъун доехала туда; армилълъи ужаба ботIкъи из армии вернулись (демобилизовались) сыновья; обу отIкъи отец приехал (пришел); уже эдул отIкъи мальчик пришёл домой 7) наступить; наступать; релъа лотIкъи ночь наступила; къару ботIкъи наступила пора; ылIну йотIкъи зима наступила 8) настать 9) слышаться, послышаться ♦ ботIукъзагьал ботIкъа а) дойти до места назначения, финиша б) перен. дело уже сделано, вы опоздали; ило ботIукъзагьал ботIкъи мы дошли (доехали) до места назначения (финиша); йу хабар ботIукъзагьал ботIкъи этот разговор окончен (все решено); ср.: отIкъа, ботIкъа, лотIкъа; хварш. латIтIа"
ЙОТIУКЪНУ,"1. масд. от гл. йотIкъа́ 2. 1) протягивание 2) достижение 3) донесение 4) получение 5) поступление 6) приход; прибытие; приезд; возвращение; демобилизация; уже отIукъну а) приход сына б) приезд (прибытие) сына в) возвращение сына из армии; хол отIукъну возвращение мужа; жидул гохъи ило ботIукъну им понравился наш приезд (приход) 7) наступление 8) доведение до конца, завершение; хIалтIи балакьал ботIукъну логу лехъви хорошо, что работа завершилась 9) услышание; ср.: отIукъну, ботIукъну, лотIукъну"
ЙОТIТIОКIА́,"(йотIтIо́кIше, йотIтIокIи́, йотIтIокIу́н, йотIтIокIōй, йо́тIтIокIо) 1) доставать, достать что-л. куда-кому-л.; газийатба лотIтIокIа доставить газеты 2) доводить, довести кого-что-л. куда-л.; хIалтIис осбо лотIтIокIа принести зарплату (деньги) 3) водить, повести, привести, отвести; возить, везти, отвезти; эдул йотIтIокIа привести домой; довезти (повести) до дома; къала ботIтIокIа доставить (отвести) детей; ишедгъол йотIокIа отвести к матери 4) носить, нести; приносить, принести что-л.; пенсийа ботIтIокIа приносить пенсию; бахIарайил шикьу лотIтIокIа принести невесте одежду 5) возвращать, возвратить, вернуть что-л.; лезалIа лотIтIокIа рувок раз взяли, надо возвращать; ср.: отIтIокIа, ботIтIокIа, лотIтIокIа"
ЙОТIТIО́КIНУ,"1) масд. от гл. йотIтIокIа́ 2. 1) достижение 2) приезд, приход; заезд; иле баркалла тылIи уже отIтIокIнулI мы поблагодарили за то, что отвезли сына 3) прибытие, прибывание 4) получение 5) наступление 6) донесение; ср.: отIтIокIну, ботIтIокIну, лотIтIокIну"
ЙОТIТIОКIОХКIА́,"(йотIтIокIоху́кIше, йотIтIокIохкIи́, йотIтIокIохкIу́н, йотIтIокIохкIōй, йо́тIтIокIохкIо) понуд. 1) требовать, затребовать 2) выписать; ср.: отIтIокIохкIа, ботIтIокIохкIа, лотIтIокIохкIа"
ЙОТIТIОКIУ́ХНУ,"1. масд. от гл. йотIтIокIохкIа́ 2. 1) донесение; доведение; доставление 2) отведение; ведение 3) приношение; ношение; пенсийа эдузал ботIтIокIухну илул кумак бӣ нам помогают, доставляя пенсию домой; ср.: отIтIокIухну, ботIтIокIухну лотIтIокIухну"
ЙОТIТIУ́КЪКЪУ,"прич. прибывший; пришедший; дошедший; илугъол ботIтIукъкъу хабар богу голи разговор (вести) дошедший до нас приятный (есть); ср.: отIтIукъкъу, ботIтIукъкъу, лотIтIукъкъу"
ЙОТIТIОХКIА́,"(йотIтIоху́кIше, йотIтIохкIи́, йотIтIохкIу́н, йотIтIохкIōй, йо́тIтIохкIо) понуд. заставить кого-л. довезти (доставить) кого-л. куда-л.; иле исухъо уже хъоннокьол отIтIохкIи мы заставили его довезти мальчика до хутора; ср.: отIтIохкIа, ботIтIохкIа, лотIтIохкIа"
ЙОХА́,"1 (йо́хше, йохи́, йоху́н, йōх, йо́хо) 1) быть в ссоре; поссориться; рассориться; боха бегьидоби! ссориться нельзя! 2) не разговаривать, не общаться с кем-л. 3) обижаться; обидеться на кого-л.; йу дилъ охи а) он обиделся на меня б) поссорился со мной в) он не разговаривает со мной; дилъ ыс йохи на меня обиделась сестра; ср.: оха, боха, лоха; хварш. баха"
ЙОХА́,"2(йо́хше, йохи́, йоху́н, йōх, йо́хо) 1) вешать; повесить; развешивать; развесить что-л.; палту боха повесить пальто; гид йоха повесить платье (рубашку); шикьу лоха повесить одежду (белье); шикьу хъухъа лохи одежду (белье) повесили высушить (на солнце) 2) цеплять; зацеплять что-л.; пинжик аᴴкIхъва лохи зацепить пиджак на гвоздь; ср.: оха, боха, лоха; хварш. йаха"
ЙОХА́С:,"йоха́с гъо́ба омет, скирда (мякины, половы высотой около двух метров) ♦ йохас лецIцIу къеIн тупой, тупоголовый (букв. мякиной полная голова); хварш. йухус гъоба"
ЙОХ-ЙОША́,"(йох-йо́шше, йох-йоши́, йох-йошу́н, йох-йōш, йо́х-йошо) многокр. от гл. йоха́1,2; ср.: ох-оша, бох-боша, лох-лоша"
ЙОХ-ЙОШКIА́,"(йох-йо́шукIше, йох-йошкIи́, йох-йошкIу́н, йох-йошōкI, йо́х-йōшкIо) понуд. многокр. от гл. йоха́1,2; ср.: ох-ошкIа бох-бошкIа, лох-лошкIа"
ЙОХ-ЙОШУ́КIНУ,"понуд. многокр. масд. от гл. йоха́1,2; ср.: ох-ошукIну, бох-бошукIну, лох-лошукIну"
ЙОХДО́В,"прич. 1) обидчивый; ило бохдов гьамагъебо гоби мы друзья не обидчивые (есть); дийо гьамагъе охдов голи мой друг обидчивый (есть) 2) ссорящийся; ср.: охдов, бохдов, лохдов"
ЙОХКIА́,"1 (йоху́кIше, йохкIи́, йохкIу́н, йохōкI, йо́хкIо) понуд. 1) поссорить; жиде дилъ кад йохкIи они поссорили меня с дочерью 2) обижать, обидеть; расстраивать, расстроить кого-л.; де гьамагъе йохкIи я расстроила (обидела) подругу ср.: охкIа, бохкIа, лохкIа"
ЙОХКIА́,"2 (йоху́кIше, йохкIи́, йохкIу́н, йохōкI, йо́хкIо) понуд. 1) повесить кого-что-л.; де лохкIа шикьу кварухъо я заставлю кого-н. повесить белье 2) задушить; ср.: охкIа, бохкIа, лохкIа; хварш. лахекІа; см. гъваIшшаIкIа, гъванкъида"
ЙО́ХНУ,"1 1. масд. от гл. йоха́1 2. ссора; обида (когда перестают разговаривать друг с другом); жилло бохну голлуч лохи их ссора все испортила; ср.: охну, бохну, лохну; хварш. бахану"
ЙО́ХНУ,"2 1. масд. от гл. йоха́2 2. 1) повешевание; развешивание; вещание кого-что-л.; палту бохну вешание пальто; шикьу шипанерма лохну вещание одежды в шифонерье; хъухъа гъылIубо лохну развешивание брюк для высушивания 2) задушение; ср.: охну, бохну, лохну; хварш. йахану"
ЙОХОХА́,"(йохо́хше, йохохи́, йохоху́н, йохохōй, йо́хохо) учащ. часто ссориться; не разговаривать с кем-л.; часто обижаться на кого-л.; изу иттон бохохше беч они часто обижаются друг на друга; дийо абахар къарез къарел йохохун йēч моя соседка время от времени не общается (бывает в обиде за что-л.); ср.: охоха, бохоха, лохоха; хварш. ахаха"
ЙОХОХДО́В,"учащ. часто обижающийся, обидчивый; охохдов уже часто обижающийся мальчик; ср.: охохдов, бохохдов, лохохдов"
ЙОХО́ХНУ,"1. учащ. масд. от гл. йохоха́ 2. обида, обидчивость; исе гьикIос охохну лъыкъатев голи у этого человека бесконечная обида (есть); ср.: охохну, бохохну, лохохну; хварш. ахахану"
ЙОХОХКIА́,"(йохоху́кIше, йохохкIи́, йохохкIу́н, йохохкIōй, йо́хохкIо) понуд. учащ. от гл. йохкIа́; йу уже голлоч охохукIше того мальчика всегда заставляют обижаться; ср.: охохкIа, бохохкIа, лохохкIа"
ЙОХУ́КIНУ,"понуд. масд. от гл. йохкIа; ср.: охукIну, бохукIну, лохукIну"
ЙОХОХУ́КIНУ,"понуд. учащ. масд. от гл. йохохкIа́; ср.: охохукIну, бохохукIну, лохохукIну"
ЙОХУХЪО́СО,"IV (-а́, -обо, -аза́) мешок для половы (мякины); йохухъосо эхенама гьимон гоби в мешке для половы нет ничего; мешок для половы пуст"
ЙОХХИДА́,"(йоххи́дше//йоххи́шше, йоххиди́, йоххиди́н, йоххидōй, йо́ххидо) 1) радоваться, обрадоваться; йаццагьай йоххиди двоюродная сестра обрадовалась; къала боххиди дети обрадовались; йехъулъ йу оххидин голи он сегодня радостен (есть); ило локIобо роххиди наши сердца обрадовались 2) веселиться; забавляться; развлекаться; ср.: оххида, боххида, роххида; см. гъуIгъуI багьа"
ЙОХХИ́ДНУ,"1. масд. от гл. йоххида́ 2. 1) обрадование; состояние радости; радость; отрада 2) забава, развлечение; веселость; жило боххидну голлуч гъуIгъуI баккви их радость развеселила всех; ср.: оххидну, боххидну, лоххидну"
ЙОХХИДОКIА́,"(йоххидо́кIше, йоххидокIи́, йоххидокIу́н, йоххидокIōй, йо́ххидокIо) 1) радовать; обрадовать; локIо роххидокIа обрадовать сердце; гъиIна йу оххидокIи жена его обрадовала илъе къала ило боххидокIи эти дети нас обрадовали 2) веселить, развеселить; забавлять, развлекать; ср.: оххидокIа, боххидокIа, роххидокIа"
ЙОХХИДО́КIНУ,"1 понуд. масд. от гл. йоххидокIа́ 2. 1) радость 2) веселье; ср.: оххидокIну, боххидокIну, роххидокIну"
ЙОХХИДОХКIА́,"(йоххидоху́кIше, йоххидохкIи́, йоххидохкIу́н, йоххидохкIōй, йо́ххидохкIо) понуд. от гл. йоххидокIа́; ср.: оххидохкIа, боххидохкIа, роххидохкIа"
ЙОХХИДОХУ́КIНУ,"понуд. масд. от гл. йоххидохкIа́; ср.: оххидохукIну, боххидохукIну, роххидохукIну"
ЙОХХИ́ДДУ,"прич. 1) радостный 2) веселый; забавный; жизнерадостный; охидду гьикIо жизнерадостный (веселый) мужчина; ср.: оххидду, боххидду, роххиду; см. аваданаб, гIанчIаб"
ЙО́ХХУ,"прич. 1) повешенный 2) удушенный; задушенный; илул гъонохъо охху гьикIо ыси мы нашли повешенного (удушенного) на дереве человека; ср. охху, бохху, лохху"
ЙОХЪА́,"1 (йо́хъше, йохъи́, йохъу́н, йо́хъōх, йо́хъо) 1) получать что-л.; осбо лохъа получить деньги (зарплату); дацкьа къваIнас лохъи на уроке получили двойку (оценку) 2) получить (пользу) выгоду; хайир бохъа получить выгоду 3) выигривать; выиграть что-л.; ср.: охъа, бохъа, лохъа; хварш. бахъа"
ЙОХЪА́,"2 (йо́хъше, йохъи́, йохъу́н, йōхъ, йо́хъо) 1) находить, найти, обнаруживать, обнаружить обнаруживать; отыскать; рикIаба лохъи нашёл(-а) ключи; чвāба лохъа поймать рыб; литту мишбо лохъа обнаружить пропащих телят; дихъо обу охъи я отыскала отца; кIведовзухъо лōхъ посл. кто ищет, тот находит 2) ловить, поймать; хватать, схватить; изловить; игьохъо боцIо бохъи чабан изловил волка; дихъо кIыца йохъи я поймал птицу; лыкьаба лохъхъо хватайте руки 3) догонять, догнать; дуридин охъа догнать бегом (поймать); ср.: охъа, бохъа, лохъа; хварш. бахъа"
ЙОХЪ-ЙОХЪА́,"(йохъ-йо́хъше, йохъ-йохъи́, йохъ-йохъу́н, йохъ-йōхъ, йохъ-йо́хъо) многокр. от гл. йохъа́2; ср.: охъа, бохъа, лохъа"
ЙОХЪ-ЙО́ХЪНУ,"многокр. масд. от гл. йохъ-йохъа́; ср.: охъ-охъа, бохъ-бохъа, лохъ-лохъа"
